h,w
9,69
9,68
10,69
9,68
10,69
11,69
11,68
11,69
10,69
11,69
11,68
11,69
11,68
10,67
9,67
9,66
9,67
8,68
8,69
8,68
9,69
8,69
9,69
8,68
8,69
9,69
8,68
9,69
10,68
9,69
10,68
10,69
11,68
10,68
9,69
8,69
9,69
8,69
9,68
10,68
10,69
11,69
10,69
11,69
10,69
9,68
8,69
9,68
8,68
8,69
8,68
8,69
8,68
9,67
10,66
9,67
8,68
8,69
9,68
10,67
11,68
11,69
10,68
11,68
11,67
11,68
11,69
10,68
11,69
10,68
9,67
9,68
8,69
9,68
8,69
9,68
8,69
8,68
9,67
9,66
9,67
9,68
10,68
10,67
9,67
10,66
9,67
9,68
8,68
9,68
10,67
9,66
9,67
10,68
11,69
11,68
10,68
9,67
8,68
9,68
10,67
10,68
11,67
10,66
11,67
11,68
10,68
11,68
11,67
10,68
11,69
11,68
11,69
11,68
10,67
9,66
9,67
10,66
10,67
9,68
9,67
10,67
9,68
9,67
8,68
9,67
10,66
9,66
10,67
10,68
11,67
10,66
9,66
10,66
10,67
10,66
9,66
9,67
8,68
9,67
10,68
11,69
11,68
11,69
11,68
11,67
11,68
11,67
12,68
11,68
11,69
11,68
10,67
10,66
11,67
10,67
11,68
10,67
11,67
10,67
9,67
10,66
9,67
8,68
9,67
10,67
9,67
9,66
10,66
10,67
11,67
10,66
9,66
10,67
9,66
10,66
9,66
10,67
11,67
10,67
11,67
10,67
9,66
9,67
8,68
8,67
8,66
9,66
9,67
10,66
11,67
10,66
11,67
10,66
11,67
10,66
11,67
10,66
11,67
10,66
9,66
10,66
9,66
10,66
9,66
10,66
11,67
12,67
11,67
12,66
11,67
11,66
12,67
13,68
13,69
14,70
15,70
14,70
15,70
16,70
17,70
16,70
17,70
18,70
19,70
18,70
19,70
18,70
17,70
17,69
16,69
16,70
17,70
18,70
19,70
18,70
18,69
18,70
17,70
18,70
17,70
18,70
19,70
18,70
19,70
18,70
19,70
18,70
19,70
18,69
18,70
19,70
18,70
19,70
18,70
18,69
18,70
17,69
16,70
15,70
16,70
15,70
14,70
15,70
16,70
17,70
18,70
17,69
18,70
17,70
16,70
16,69
17,70
18,70
17,70
16,70
16,69
16,70
16,69
15,70
14,70
15,70
14,70
15,70
14,70
15,70
16,70
17,70
16,70
16,69
15,70
16,70
17,70
18,70
19,70
18,70
17,70
18,70
19,70
18,70
19,70
18,69
18,70
19,70
18,69
19,70
18,70
19,70
18,70
17,69
17,70
16,70
15,70
14,70
15,70
14,70
15,70
14,70
15,70
14,70
15,70
16,70
15,70
14,70
15,70
14,70
15,70
16,70
17,70
18,69
17,69
16,70
15,70
14,70
15,70
14,70
15,70
16,69
17,70
18,70
17,70
16,70
15,70
16,70
16,69
16,70
15,70
14,70
15,70
14,70
15,70
16,70
17,69
17,70
17,69
16,70
15,70
14,70
13,70
14,70
15,69
14,70
13,69
14,70
13,69
14,70
13,70
14,70
14,69
14,70
13,69
14,70
14,69
14,70
15,69
16,69
17,70
16,70
17,70
16,70
17,69
17,70
16,70
17,69
18,69
19,70
18,69
19,70
18,69
17,69
17,70
16,70
17,70
16,70
17,70
16,69
17,70
17,69
17,70
17,69
16,69
17,69
16,69
17,69
16,69
17,69
18,69
19,70
18,69
19,70
18,69
19,70
18,69
19,70
18,69
19,70
18,69
19,70
18,69
19,70
18,69
19,70
18,69
19,70
18,69
17,69
18,69
17,69
16,69
17,69
18,69
17,69
16,69
17,69
16,69
17,69
18,69
17,69
16,69
17,69
16,69
17,69
18,69
17,69
16,69
17,69
16,69
17,68
16,67
16,66
16,67
16,66
16,67
16,66
16,67
16,66
16,67
16,66
16,67
16,66
16,67
16,68
16,69
16,68
16,69
17,68
16,69
17,68
16,69
15,69
14,70
14,69
14,68
15,68
16,67
16,66
16,67
16,66
16,67
16,66
16,67
16,66
16,67
16,66
16,67
16,66
16,67
16,66
16,67
15,66
16,67
16,66
16,67
16,66
16,67
16,66
16,67
16,66
16,67
16,66
16,67
16,66
16,67
16,66
16,67
16,66
16,67
16,66
16,67
16,66
16,67
16,66
17,66
16,66
15,66
15,67
14,66
13,67
14,68
13,67
13,66
12,67
12,68
12,69
13,69
13,68
12,69
12,68
12,67
11,66
12,67
11,66
12,66
13,66
14,67
15,68
16,69
15,68
16,69
16,68
16,69
17,68
18,69
18,68
18,69
19,69
18,69
19,68
20,69
21,70
22,70
21,70
22,70
22,69
23,69
22,70
23,69
22,70
23,69
22,70
23,69
22,70
23,69
22,70
22,69
23,69
22,70
21,70
22,69
21,70
22,70
21,70
22,70
23,69
22,70
23,69
22,70
23,69
22,70
21,70
22,70
23,69
22,69
22,70
23,69
22,70
23,69
22,70
21,70
22,70
23,69
22,70
23,69
22,70
23,69
22,70
22,69
21,70
22,70
23,69
22,70
21,70
22,70
21,70
22,70
22,69
21,70
22,70
22,69
23,69
22,69
23,69
22,69
21,70
22,69
21,70
22,69
21,70
22,69
21,70
22,69
23,69
22,69
21,70
22,69
23,69
22,69
23,69
22,69
23,69
22,69
21,70
22,69
21,70
22,69
23,69
22,69
23,69
22,69
23,69
22,69
23,69
22,69
21,70
22,69
21,70
22,69
21,70
20,69
21,70
21,69
21,70
21,69
21,70
20,70
21,70
20,70
21,70
20,69
20,68
19,67
18,66
17,66
16,66
17,67
18,67
18,66
19,66
19,67
18,66
19,67
18,67
17,67
18,67
19,66
20,67
20,68
21,69
22,68
23,67
23,68
24,68
25,69
26,69
25,69
26,69
27,69
26,68
25,69
26,68
25,68
26,69
26,68
25,68
26,69
25,69
26,68
25,69
26,68
26,69
27,69
26,68
27,69
28,69
29,69
30,69
31,69
32,69
31,69
30,69
29,69
28,69
29,69
30,69
31,68
31,69
30,69
29,69
28,69
27,69
28,69
27,69
26,69
26,68
27,69
28,69
27,69
26,69
27,69
26,68
27,69
28,69
29,69
30,69
29,69
28,69
29,69
30,69
31,69
31,68
31,69
32,69
33,69
32,69
31,69
32,69
31,69
32,69
32,68
33,69
34,69
35,69
34,69
35,69
36,69
37,69
38,69
37,69
36,69
37,69
36,69
35,69
34,69
33,69
34,69
33,69
34,69
33,69
34,69
33,68
32,67
33,68
34,69
35,69
36,69
35,69
36,69
37,69
38,69
37,69
38,69
37,69
38,69
37,69
36,69
37,69
38,69
37,69
36,69
37,69
36,69
35,69
36,69
35,69
36,69
37,69
38,69
37,69
38,69
37,69
38,69
37,69
38,69
37,69
36,69
35,69
36,69
35,69
34,69
33,69
32,69
31,69
32,68
32,69
33,69
34,69
33,69
32,69
31,69
30,69
29,69
30,69
29,69
28,69
27,69
26,68
27,68
26,69
27,69
26,68
25,68
26,68
27,68
28,69
27,69
26,68
25,67
26,68
25,69
26,69
26,68
26,69
27,69
27,68
27,69
28,69
29,69
30,69
31,69
31,68
32,69
32,68
32,69
33,69
32,69
33,69
34,69
33,69
32,69
32,68
31,69
31,68
30,69
29,69
28,69
27,69
26,68
27,69
28,69
29,69
28,69
27,69
26,68
26,69
25,69
25,68
25,69
26,68
26,69
25,69
26,68
27,69
26,69
25,69
26,68
27,69
26,68
25,69
26,69
27,69
27,68
26,68
26,69
27,69
28,69
29,69
30,69
31,68
30,69
31,68
32,68
31,69
32,69
31,69
32,69
33,69
32,69
33,69
32,69
31,68
30,69
31,69
32,69
33,69
32,69
31,69
31,68
30,69
31,69
32,68
32,69
31,69
30,69
31,69
30,69
29,69
28,69
29,69
30,69
31,69
30,69
29,69
28,69
29,69
30,69
31,69
31,68
30,69
29,69
30,69
31,68
30,69
31,69
30,69
29,69
30,69
31,69
30,69
29,69
30,69
31,69
31,68
32,69
31,69
32,69
33,69
34,69
33,68
33,69
34,69
35,69
34,69
35,69
34,69
33,69
33,68
34,69
35,69
34,69
33,68
32,69
33,69
34,69
35,69
34,69
33,69
34,69
33,69
32,69
31,69
32,68
33,69
34,69
35,69
36,69
35,69
34,69
35,69
36,69
37,69
38,69
37,69
36,69
35,69
36,69
35,69
34,69
33,69
34,69
35,69
34,69
33,69
32,69
33,69
32,69
33,69
32,69
33,68
33,69
33,68
32,67
33,68
34,69
35,69
36,69
37,69
36,69
37,69
38,69
37,69
36,69
35,69
36,69
37,69
38,69
37,69
36,69
37,69
38,69
37,69
36,69
37,69
38,69
37,69
38,69
39,70
38,69
39,70
38,69
39,68
38,69
39,68
38,69
38,70
38,69
39,69
38,69
39,68
38,69
37,70
38,69
39,69
38,69
39,70
38,69
38,70
38,69
39,69
40,70
41,71
41,72
42,73
43,74
42,74
43,74
43,73
42,74
43,73
43,74
43,73
42,74
41,74
42,74
41,74
42,73
43,74
42,73
41,74
42,73
43,74
43,73
43,74
43,73
42,74
43,73
42,74
42,73
41,74
42,74
43,74
42,73
43,73
43,74
42,74
41,74
42,73
41,74
42,74
41,74
42,74
41,74
42,74
42,73
41,74
42,74
42,73
42,74
43,74
44,74
43,74
42,74
43,73
42,74
43,74
42,74
43,73
42,74
43,73
44,73
43,73
42,74
41,74
42,74
42,73
43,74
42,73
43,74
42,74
41,74
42,74
41,74
42,73
42,74
43,74
42,74
41,74
42,73
43,73
42,74
43,73
42,74
43,74
42,73
41,74
42,73
43,74
42,73
41,74
40,73
39,72
40,72
